# Date Updated: 12/18/2015
# Source: Mann and Von Braun (2015), PASP, 127, 102 (http://www.jstor.org/stable/10.1086/680012)
# Wavelength(nm) Transmission(0-1)
356.60 0.000000
359.16 0.005000
361.73 0.010000
364.29 0.016000
366.86 0.027000
369.42 0.044000
371.99 0.064000
374.55 0.092000
377.12 0.148000
379.68 0.232000
382.25 0.325000
384.81 0.419000
387.38 0.510000
389.94 0.599000
392.50 0.688000
395.07 0.763000
397.63 0.810000
400.20 0.839000
402.76 0.869000
405.33 0.895000
407.89 0.916000
410.46 0.936000
413.02 0.954000
415.59 0.967000
418.15 0.977000
420.72 0.985000
423.28 0.992000
425.85 0.996000
428.41 0.999000
430.98 1.000000
433.54 0.998000
436.11 0.991000
438.67 0.981000
441.23 0.970000
443.80 0.954000
446.36 0.933000
448.93 0.910000
451.49 0.887000
454.06 0.865000
456.62 0.843000
459.19 0.821000
461.75 0.797000
464.32 0.772000
466.88 0.746000
469.45 0.719000
472.01 0.691000
474.58 0.660000
477.14 0.628000
479.71 0.595000
482.27 0.564000
484.83 0.533000
487.40 0.502000
489.96 0.471000
492.53 0.440000
495.09 0.410000
497.66 0.378000
500.22 0.347000
502.79 0.316000
505.35 0.284000
507.92 0.253000
510.48 0.226000
513.05 0.204000
515.61 0.182000
518.18 0.160000
520.74 0.138000
523.31 0.116000
525.87 0.094000
528.44 0.074000
531.00 0.057000
533.56 0.041000
536.13 0.026000
538.69 0.016000
541.26 0.010000
543.82 0.005000
