# Date Updated: 12/18/2015
# Source: Mann and Von Braun (2015), PASP, 127, 102 (http://www.jstor.org/stable/10.1086/680012)
# Wavelength(nm) Transmission(0-1)
471.82 0.000000
475.86 0.017000
479.91 0.041000
483.95 0.078000
488.00 0.134000
492.04 0.211000
496.08 0.311000
500.13 0.429000
504.17 0.553000
508.22 0.675000
512.26 0.788000
516.30 0.879000
520.35 0.943000
524.39 0.983000
528.44 1.000000
532.48 0.993000
536.53 0.975000
540.57 0.949000
544.61 0.915000
548.66 0.877000
552.70 0.835000
556.75 0.790000
560.79 0.742000
564.84 0.694000
568.88 0.648000
572.92 0.605000
576.97 0.565000
581.01 0.525000
585.06 0.486000
589.10 0.446000
593.14 0.407000
597.19 0.370000
601.23 0.334000
605.28 0.301000
609.32 0.270000
613.37 0.240000
617.41 0.214000
621.45 0.189000
625.50 0.167000
629.54 0.146000
633.59 0.128000
637.63 0.111000
641.67 0.096000
645.72 0.082000
649.76 0.069000
653.81 0.058000
657.85 0.047000
661.90 0.038000
665.94 0.030000
669.98 0.024000
674.03 0.019000
678.07 0.015000
682.12 0.012000
686.16 0.010000
690.21 0.008000
694.25 0.007000
698.29 0.006000
702.34 0.006000
706.38 0.005000
710.43 0.004000
714.47 0.004000
718.51 0.003000
722.56 0.003000
726.60 0.003000
730.65 0.002000
734.69 0.002000
738.74 0.002000
742.78 0.001000
746.82 0.001000
750.87 0.001000
754.91 0.001000
758.96 0.000000
763.00 0.000000
767.04 0.000000
