Table 4
2.5 m Telescope Reference Response Function and Adopted Atmospheric Transmission for APO (Air Mass = 1.3)

lambda	u	g	r	i	z	T_1.3 air mass	
2940	0.0001	 ... 	 ... 	 ... 	 ... 	0.0162	
2960	0.0003	 ... 	 ... 	 ... 	 ... 	0.0242	
2980	0.0005	 ... 	 ... 	 ... 	 ... 	0.0351	
3000	0.0009	 ... 	 ... 	 ... 	 ... 	0.0459	
3020	0.0014	 ... 	 ... 	 ... 	 ... 	0.0644	
3040	0.0029	 ... 	 ... 	 ... 	 ... 	0.0828	
3060	0.0050	 ... 	 ... 	 ... 	 ... 	0.1048	
3080	0.0077	 ... 	 ... 	 ... 	 ... 	0.1303	
3100	0.0136	 ... 	 ... 	 ... 	 ... 	0.1558	
3120	0.0194	 ... 	 ... 	 ... 	 ... 	0.1882	
3140	0.0276	 ... 	 ... 	 ... 	 ... 	0.2206	
3160	0.0367	 ... 	 ... 	 ... 	 ... 	0.2628	
3180	0.0460	 ... 	 ... 	 ... 	 ... 	0.2962	
3200	0.0558	 ... 	 ... 	 ... 	 ... 	0.3269	
3220	0.0656	 ... 	 ... 	 ... 	 ... 	0.3521	
3240	0.0743	 ... 	 ... 	 ... 	 ... 	0.3728	
3260	0.0826	 ... 	 ... 	 ... 	 ... 	0.3912	
3280	0.0905	 ... 	 ... 	 ... 	 ... 	0.4067	
3300	0.0969	 ... 	 ... 	 ... 	 ... 	0.4224	
3320	0.1033	 ... 	 ... 	 ... 	 ... 	0.4369	
3340	0.1098	 ... 	 ... 	 ... 	 ... 	0.4496	
3360	0.1162	 ... 	 ... 	 ... 	 ... 	0.4608	
3380	0.1223	 ... 	 ... 	 ... 	 ... 	0.4687	
3400	0.1268	 ... 	 ... 	 ... 	 ... 	0.4766	
3420	0.1314	 ... 	 ... 	 ... 	 ... 	0.4824	
3440	0.1353	 ... 	 ... 	 ... 	 ... 	0.4882	
3460	0.1390	 ... 	 ... 	 ... 	 ... 	0.4977	
3480	0.1427	 ... 	 ... 	 ... 	 ... 	0.5109	
3500	0.1460	 ... 	 ... 	 ... 	 ... 	0.5241	
3520	0.1494	 ... 	 ... 	 ... 	 ... 	0.5311	
3540	0.1518	 ... 	 ... 	 ... 	 ... 	0.5382	
3560	0.1537	 ... 	 ... 	 ... 	 ... 	0.5452	
3580	0.1555	 ... 	 ... 	 ... 	 ... 	0.5522	
3600	0.1570	 ... 	 ... 	 ... 	 ... 	0.5593	
3620	0.1586	0.0002	 ... 	 ... 	 ... 	0.5660	
3640	0.1604	0.0015	 ... 	 ... 	 ... 	0.5728	
3660	0.1625	0.0027	 ... 	 ... 	 ... 	0.5795	
3680	0.1638	0.0038	 ... 	 ... 	 ... 	0.5862	
3700	0.1626	0.0035	 ... 	 ... 	 ... 	0.5930	
3720	0.1614	0.0032	 ... 	 ... 	 ... 	0.5979	
3740	0.1563	0.0031	 ... 	 ... 	 ... 	0.6027	
3760	0.1497	0.0037	 ... 	 ... 	 ... 	0.6076	
3780	0.1416	0.0048	 ... 	 ... 	 ... 	0.6125	
3800	0.1282	0.0067	 ... 	 ... 	 ... 	0.6174	
3820	0.1148	0.0115	 ... 	 ... 	 ... 	0.6231	
3840	0.0956	0.0220	 ... 	 ... 	 ... 	0.6289	
3860	0.0744	0.0353	 ... 	 ... 	 ... 	0.6346	
3880	0.0549	0.0507	 ... 	 ... 	 ... 	0.6404	
3900	0.0407	0.0740	 ... 	 ... 	 ... 	0.6461	
3920	0.0265	0.0973	 ... 	 ... 	 ... 	0.6534	
3940	0.0177	0.1224	 ... 	 ... 	 ... 	0.6606	
3960	0.0107	0.1484	 ... 	 ... 	 ... 	0.6679	
3980	0.0050	0.1757	 ... 	 ... 	 ... 	0.6751	
4000	0.0032	0.2081	 ... 	 ... 	 ... 	0.6824	
4020	0.0015	0.2404	 ... 	 ... 	 ... 	0.6876	
4040	0.0008	0.2617	 ... 	 ... 	 ... 	0.6928	
4060	0.0005	0.2785	 ... 	 ... 	 ... 	0.6981	
4080	0.0003	0.2954	 ... 	 ... 	 ... 	0.7033	
4100	0.0003	0.3122	 ... 	 ... 	 ... 	0.7086	
4120	0.0003	0.3290	 ... 	 ... 	 ... 	0.7129	
4140	0.0002	0.3411	 ... 	 ... 	 ... 	0.7172	
4160	0.0001	0.3512	 ... 	 ... 	 ... 	0.7215	
4180	 ... 	0.3603	 ... 	 ... 	 ... 	0.7258	
4200	 ... 	0.3660	 ... 	 ... 	 ... 	0.7301	
4220	 ... 	0.3717	 ... 	 ... 	 ... 	0.7339	
4240	 ... 	0.3773	 ... 	 ... 	 ... 	0.7378	
4260	 ... 	0.3830	 ... 	 ... 	 ... 	0.7416	
4280	 ... 	0.3886	 ... 	 ... 	 ... 	0.7455	
4300	 ... 	0.3943	 ... 	 ... 	 ... 	0.7493	
4320	 ... 	0.3999	 ... 	 ... 	 ... 	0.7529	
4340	 ... 	0.4043	 ... 	 ... 	 ... 	0.7564	
4360	 ... 	0.4083	 ... 	 ... 	 ... 	0.7600	
4380	 ... 	0.4122	 ... 	 ... 	 ... 	0.7635	
4400	 ... 	0.4161	 ... 	 ... 	 ... 	0.7671	
4420	 ... 	0.4200	 ... 	 ... 	 ... 	0.7705	
4440	 ... 	0.4240	 ... 	 ... 	 ... 	0.7739	
4460	 ... 	0.4279	 ... 	 ... 	 ... 	0.7773	
4480	 ... 	0.4314	 ... 	 ... 	 ... 	0.7808	
4500	 ... 	0.4337	 ... 	 ... 	 ... 	0.7842	
4520	 ... 	0.4359	 ... 	 ... 	 ... 	0.7873	
4540	 ... 	0.4381	 ... 	 ... 	 ... 	0.7904	
4560	 ... 	0.4404	 ... 	 ... 	 ... 	0.7935	
4580	 ... 	0.4426	 ... 	 ... 	 ... 	0.7965	
4600	 ... 	0.4448	 ... 	 ... 	 ... 	0.7996	
4620	 ... 	0.4470	 ... 	 ... 	 ... 	0.8021	
4640	 ... 	0.4488	 ... 	 ... 	 ... 	0.8047	
4660	 ... 	0.4504	 ... 	 ... 	 ... 	0.8072	
4680	 ... 	0.4521	 ... 	 ... 	 ... 	0.8097	
4700	 ... 	0.4537	 ... 	 ... 	 ... 	0.8122	
4720	 ... 	0.4553	 ... 	 ... 	 ... 	0.8141	
4740	 ... 	0.4569	 ... 	 ... 	 ... 	0.8160	
4760	 ... 	0.4586	 ... 	 ... 	 ... 	0.8179	
4780	 ... 	0.4601	 ... 	 ... 	 ... 	0.8199	
4800	 ... 	0.4611	 ... 	 ... 	 ... 	0.8218	
4820	 ... 	0.4622	 ... 	 ... 	 ... 	0.8237	
4840	 ... 	0.4633	 ... 	 ... 	 ... 	0.8256	
4860	 ... 	0.4644	 ... 	 ... 	 ... 	0.8276	
4880	 ... 	0.4655	 ... 	 ... 	 ... 	0.8295	
4900	 ... 	0.4666	 ... 	 ... 	 ... 	0.8314	
4920	 ... 	0.4677	 ... 	 ... 	 ... 	0.8327	
4940	 ... 	0.4687	 ... 	 ... 	 ... 	0.8340	
4960	 ... 	0.4698	 ... 	 ... 	 ... 	0.8353	
4980	 ... 	0.4709	 ... 	 ... 	 ... 	0.8366	
5000	 ... 	0.4719	 ... 	 ... 	 ... 	0.8379	
5020	 ... 	0.4730	 ... 	 ... 	 ... 	0.8388	
5040	 ... 	0.4741	 ... 	 ... 	 ... 	0.8397	
5060	 ... 	0.4752	 ... 	 ... 	 ... 	0.8406	
5080	 ... 	0.4762	 ... 	 ... 	 ... 	0.8415	
5100	 ... 	0.4770	 ... 	 ... 	 ... 	0.8423	
5120	 ... 	0.4765	 ... 	 ... 	 ... 	0.8432	
5140	 ... 	0.4753	 ... 	 ... 	 ... 	0.8441	
5160	 ... 	0.4731	 ... 	 ... 	 ... 	0.8450	
5180	 ... 	0.4704	 ... 	 ... 	 ... 	0.8458	
5200	 ... 	0.4672	 ... 	 ... 	 ... 	0.8467	
5220	 ... 	0.4625	 ... 	 ... 	 ... 	0.8477	
5240	 ... 	0.4512	 ... 	 ... 	 ... 	0.8487	
5260	 ... 	0.4326	 ... 	 ... 	 ... 	0.8497	
5280	 ... 	0.3996	 ... 	 ... 	 ... 	0.8507	
5300	 ... 	0.3429	 ... 	 ... 	 ... 	0.8517	
5320	 ... 	0.2768	 ... 	 ... 	 ... 	0.8527	
5340	 ... 	0.2013	 ... 	 ... 	 ... 	0.8537	
5360	 ... 	0.1397	 ... 	 ... 	 ... 	0.8547	
5380	 ... 	0.0899	0.0002	 ... 	 ... 	0.8557	
5400	 ... 	0.0585	0.0018	 ... 	 ... 	0.8567	
5420	 ... 	0.0398	0.0050	 ... 	 ... 	0.8571	
5440	 ... 	0.0269	0.0105	 ... 	 ... 	0.8576	
5460	 ... 	0.0189	0.0225	 ... 	 ... 	0.8580	
5480	 ... 	0.0136	0.0452	 ... 	 ... 	0.8585	
5500	 ... 	0.0096	0.0751	 ... 	 ... 	0.8589	
5520	 ... 	0.0068	0.1175	 ... 	 ... 	0.8594	
5540	 ... 	0.0051	0.1641	 ... 	 ... 	0.8598	
5560	 ... 	0.0037	0.2118	 ... 	 ... 	0.8602	
5580	 ... 	0.0024	0.2567	 ... 	 ... 	0.8607	
5600	 ... 	0.0013	0.2979	 ... 	 ... 	0.8611	
5620	 ... 	0.0002	0.3368	 ... 	 ... 	0.8616	
5640	 ... 	 ... 	0.3724	 ... 	 ... 	0.8620	
5660	 ... 	 ... 	0.4042	 ... 	 ... 	0.8625	
5680	 ... 	 ... 	0.4327	 ... 	 ... 	0.8629	
5700	 ... 	 ... 	0.4531	 ... 	 ... 	0.8634	
5720	 ... 	 ... 	0.4667	 ... 	 ... 	0.8638	
5740	 ... 	 ... 	0.4774	 ... 	 ... 	0.8643	
5760	 ... 	 ... 	0.4868	 ... 	 ... 	0.8647	
5780	 ... 	 ... 	0.4949	 ... 	 ... 	0.8652	
5800	 ... 	 ... 	0.5019	 ... 	 ... 	0.8656	
5820	 ... 	 ... 	0.5068	 ... 	 ... 	0.8672	
5840	 ... 	 ... 	0.5118	 ... 	 ... 	0.8688	
5860	 ... 	 ... 	0.5162	 ... 	 ... 	0.8704	
5880	 ... 	 ... 	0.5187	 ... 	 ... 	0.8720	
5900	 ... 	 ... 	0.5212	 ... 	 ... 	0.8736	
5920	 ... 	 ... 	0.5237	 ... 	 ... 	0.8752	
5940	 ... 	 ... 	0.5262	 ... 	 ... 	0.8768	
5960	 ... 	 ... 	0.5287	 ... 	 ... 	0.8783	
5980	 ... 	 ... 	0.5309	 ... 	 ... 	0.8799	
6000	 ... 	 ... 	0.5323	 ... 	 ... 	0.8815	
6020	 ... 	 ... 	0.5336	 ... 	 ... 	0.8841	
6040	 ... 	 ... 	0.5349	 ... 	 ... 	0.8866	
6060	 ... 	 ... 	0.5362	 ... 	 ... 	0.8891	
6080	 ... 	 ... 	0.5370	 ... 	 ... 	0.8917	
6100	 ... 	 ... 	0.5361	 ... 	 ... 	0.8942	
6120	 ... 	 ... 	0.5352	 ... 	 ... 	0.8961	
6140	 ... 	 ... 	0.5342	 ... 	 ... 	0.8980	
6160	 ... 	 ... 	0.5333	 ... 	 ... 	0.8998	
6180	 ... 	 ... 	0.5333	 ... 	 ... 	0.9017	
6200	 ... 	 ... 	0.5358	 ... 	 ... 	0.9036	
6220	 ... 	 ... 	0.5383	 ... 	 ... 	0.9048	
6240	 ... 	 ... 	0.5409	 ... 	 ... 	0.9059	
6260	 ... 	 ... 	0.5434	 ... 	 ... 	0.9071	
6280	 ... 	 ... 	0.5454	 ... 	 ... 	0.9083	
6300	 ... 	 ... 	0.5462	 ... 	 ... 	0.9095	
6320	 ... 	 ... 	0.5470	 ... 	 ... 	0.9104	
